X,logFunc
1.0E-4,2054.0420619815527
0.10010000000000001,0.4734141747822087
0.2001,-0.08442997910140361
0.30010000000000003,-0.2772579989491831
0.4001,-0.2494062542941331
0.5001,-0.15385866269527115
0.6001,-0.07504771924412504
0.7001,-0.02863722507592298
0.8000999999999999,-0.007474478314556363
0.9000999999999999,-8.10884176706507E-4
1.0001,7.017126134321703E-13
1.1001,6.048635821961402E-4
1.2001000000000002,0.004146246556781843
1.3001000000000003,0.011988773482651427
1.4001000000000003,0.024386718143550683
1.5001000000000004,0.04086888715426977
1.6001000000000005,0.06066522067100058
1.7001000000000006,0.08281085355030317
1.8001000000000007,0.10624346763778629
1.9001000000000008,0.13045906716522224
2.0001000000000007,0.1542784457177924
2.1001000000000007,0.1771336264226115
2.200100000000001,0.1985054347796784
2.300100000000001,0.21797469980623715
2.400100000000001,0.2352285304049748
2.500100000000001,0.25004383993920587
2.600100000000001,0.2623037068901075
2.7001000000000013,0.271969987093829
2.8001000000000014,0.279027499084444
2.9001000000000015,0.28352204846254
3.0001000000000015,0.2855972034707371
3.1001000000000016,0.2853568455567074
3.2001000000000017,0.28294597507534924
3.300100000000002,0.278568362443885
3.400100000000002,0.2723962739251308
3.500100000000002,0.264709846881158
3.600100000000002,0.2555725039865955
3.700100000000002,0.24524381817520324
3.8001000000000023,0.23374118710341224
3.9001000000000023,0.22156140500219612
4.000100000000002,0.2087655838662058
4.100100000000002,0.1955303578321588
4.200100000000002,0.18201356385991668
4.300100000000001,0.1683703832183555
4.400100000000001,0.15474510167606526
4.500100000000001,0.14127044899531652
4.6001,0.12805826831645217
4.7001,0.11522543581097858
4.8001,0.10286273993684136
4.900099999999999,0.09105208878663851
5.000099999999999,0.07988506881529486
5.1000999999999985,0.06939007390833923
5.200099999999998,0.059626363862533546
5.300099999999998,0.050629519055117346
5.4000999999999975,0.04238507123142375
5.500099999999997,0.03496535941307935
5.600099999999997,0.028347582668281482
5.700099999999996,0.022565079763374383
5.800099999999996,0.017533932624747166
5.900099999999996,0.013224248464505473
6.000099999999995,0.009653059547174698
6.100099999999995,0.006778726900288811
6.200099999999995,0.004505592602599447
6.300099999999994,0.002773124254978081
6.400099999999994,0.0015490981874826167
6.5000999999999935,7.559297964078555E-4
6.600099999999993,2.811875070716903E-4
6.700099999999993,6.604048869224798E-5
6.8000999999999925,2.9337524423238756E-6
6.900099999999992,-1.3708578296176987E-6
7.000099999999992,-5.169000188617849E-5
7.100099999999991,-2.637682155652332E-4
7.200099999999991,-7.295679356947655E-4
7.300099999999991,-0.00158623352781936
7.40009999999999,-0.002954314669705712
7.50009999999999,-0.004950507639304711
